Date,Brooklyn,Bronx,Manhattan,Queens,Staten Island
2011-12,1803.61904762,1557.06666667,3019.38095238,1671.11111111,1900.05
2012-01,1808.41728948,1541.0340766,2993.71502648,1669.73022974,1881.8575652
2012-02,1812.65572167,1530.7395456,2988.81034757,1669.29507911,1874.66650895
2012-03,1815.96099224,1521.46408433,2984.6822231,1671.01896741,1869.0526782
2012-04,1830.2543071,1526.68164887,3000.4906379,1680.38700419,1876.0118363
2012-05,1844.86056476,1536.25124113,3019.21587062,1691.0389843,1875.3836004
2012-06,1867.17703214,1553.55425153,3026.74934095,1708.53657644,1871.94826975
2012-07,1880.99847348,1571.65724647,3040.01933329,1720.63198759,1846.96164865
2012-08,1883.20858767,1577.38894767,3038.37069462,1710.45803307,1810.63718335
2012-09,1880.63857519,1575.17125473,3042.08513662,1693.03560911,1790.84524825
2012-10,1894.87054386,1572.78579727,3048.00312986,1690.06966633,1798.7040851
2012-11,1904.57583924,1572.4759188,3029.63290686,1705.82118222,1818.9096836
2012-12,1931.55724457,1570.1480546,3036.49006329,1725.3493373,1847.1600379
2013-01,1943.45888067,1559.05486267,3018.92515457,1725.67830081,1868.731701
2013-02,1949.248025,1551.21214127,3000.95872638,1719.54922711,1894.37365435
2013-03,1962.49555462,1554.09814213,3000.677684,1724.19511959,1920.2037685
2013-04,1983.06277248,1569.06279173,3028.01753448,1738.08565774,1947.37558805
2013-05,2007.340536,1582.64585707,3070.53062405,1745.43282126,1961.10886175
2013-06,2021.75441076,1592.80815547,3096.65138457,1751.78111959,1974.19292355
2013-07,2045.4665261,1594.93546467,3101.95010171,1760.78553707,1993.2511855
2013-08,2054.98397948,1588.50536953,3071.14097481,1774.071922,2005.51613705
2013-09,2060.29642362,1576.07667813,3058.35756457,1779.8350427,2023.4546115
2013-10,2070.509438,1585.19656033,3096.21998919,1804.90304515,2046.29254985
2013-11,2061.82965614,1592.04673067,3122.835804,1826.18323059,2041.96249415
2013-12,2062.71281481,1592.55786447,3144.92125376,1852.61531181,2009.25958595
2014-01,2055.63795786,1577.41779767,3138.45644552,1860.41816907,1955.3042781
2014-02,2083.54417352,1583.04072693,3161.65343133,1881.46304111,1942.452325
2014-03,2091.83323633,1579.66338713,3159.17213343,1880.90540437,1942.7892085
2014-04,2106.41066376,1581.6158316,3160.41189738,1888.09104119,1961.4519525
2014-05,2101.345614,1573.0308254,3144.27824124,1890.57031256,1966.77964855
2014-06,2111.15354171,1574.87539007,3147.88678667,1899.8004127,1966.45652675
2014-07,2119.27338481,1579.42817927,3170.7032001,1920.10777774,1994.3525079
2014-08,2133.57673419,1594.92209207,3219.90782886,1946.08027663,2028.25660385
2014-09,2149.39125195,1608.4972016,3277.07663238,1978.35461633,2071.15889965
2014-10,2172.28341214,1627.67383187,3365.77290262,2000.2243557,2091.2596646
2014-11,2199.47054424,1655.17577547,3458.82458795,2019.44705019,2125.8334793
2014-12,2219.50083919,1668.46499393,3536.61359043,2024.86002922,2160.1785353
2015-01,2221.67176248,1671.03837673,3563.22340748,2023.18100115,2172.9361177
2015-02,2223.02460543,1671.0245032,3580.219463,2030.52170526,2178.52899305
2015-03,2236.9815381,1683.51509093,3598.69771329,2043.7380447,2178.46125955
2015-04,2245.98629071,1693.72082673,3615.34701614,2050.76619389,2175.4168638
2015-05,2242.07879952,1695.54293553,3600.10741838,2045.17028615,2149.50014425
2015-06,2239.61144481,1697.27216873,3609.1596381,2044.21433007,2121.8117622
2015-07,2247.41058071,1698.22864873,3624.07744562,2049.41025515,2082.9063371
2015-08,2259.48458724,1701.57408807,3645.14435476,2072.07267489,2058.02168275
2015-09,2267.06121771,1698.25514293,3631.12665057,2090.48540859,2047.7574039
2015-10,2285.3875489,1717.8250746,3570.1437551,2120.607587,2058.6460511
2015-11,2300.14685095,1739.67462433,3527.09720567,2137.5440667,2071.81738785
2015-12,2320.78728848,1760.5141206,3508.6100729,2153.19003589,2082.86110375
2016-01,2329.42999214,1769.3748708,3534.31697105,2152.45223456,2087.9507303
2016-02,2331.15214343,1773.31095273,3561.72417438,2147.31420033,2083.0185113
2016-03,2331.20653071,1774.20922633,3593.66080633,2145.21119385,2070.23782105
2016-04,2323.01033333,1761.9129524,3609.52447738,2140.47826611,2044.41343065
2016-05,2318.26126981,1750.93951533,3614.69134967,2142.05595015,2039.8498793
2016-06,2311.02424748,1742.1422714,3602.43550643,2141.99190722,2051.9828951
2016-07,2307.80231519,1744.66467327,3593.64894786,2147.52892989,2072.65974975
2016-08,2300.488442,1739.20558833,3563.80433386,2136.94149759,2073.7344459
2016-09,2293.17820348,1730.37828213,3524.87278476,2116.721062,2070.9454311
2016-10,2296.10921038,1723.04887393,3501.35551048,2110.596612,2068.19327155
